movieId,title,genres,director,release_date,year
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,22-Nov-95,
2,Jumanji,Adventure|Children|Fantasy,Joe Johnston,15-Dec-95,
3,Grumpier Old Men,Comedy|Romance,Howard Deutch,22-Dec-95,
4,Waiting to Exhale,Comedy|Drama|Romance,Forest Whitaker,22-Dec-95,
5,Father of the Bride Part II,Comedy,Charles Shyer,08-Dec-95,
6,Heat,Action|Crime|Thriller,Michael Mann,15-Dec-95,
7,Sabrina,Comedy|Romance,Billy Wilder,15-Oct-54,
8,Tom and Huck,Adventure|Children,Peter Hewitt,22-Dec-95,
9,Sudden Death,Action,Peter Hyams,22-Dec-95,
10,GoldenEye,Action|Adventure|Thriller,Martin Campbell,17-Nov-95,
11,"American President, The",Comedy|Drama|Romance,,,
12,Dracula: Dead and Loving It,Comedy|Horror,Mel Brooks,22-Dec-95,
13,Balto,Adventure|Animation|Children,Simon Wells,22-Dec-95,
14,Nixon,Drama,Oliver Stone,05-Jan-96,
15,Cutthroat Island,Action|Adventure|Romance,Renny Harlin,22-Dec-95,
16,Casino,Crime|Drama,Martin Scorsese,22-Nov-95,
17,Sense and Sensibility,Drama|Romance,Ang Lee,26-Jan-96,
18,Four Rooms,Comedy,"Allison Anders, Alexandre Rockwell, Robert Rodriguez",25-Dec-95,
19,Ace Ventura: When Nature Calls,Comedy,Steve Oedekerk,10-Nov-95,
20,Money Train,Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,22-Nov-95,
21,Get Shorty,Comedy|Crime|Thriller,Barry Sonnenfeld,20-Oct-95,
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,27-Oct-95,
23,Assassins,Action|Crime|Thriller,Richard Donner,06-Oct-95,
24,Powder,Drama|Sci-Fi,Victor Salva,27-Oct-95,
25,Leaving Las Vegas,Drama|Romance,Mike Figgis,09-Feb-96,
26,Othello,Drama,Oliver Parker,19-Jan-96,
27,Now and Then,Children|Drama,Lesli Linka Glatter,20-Oct-95,
28,Persuasion,Drama|Romance,Carrie Cracknell,15-Jul-22,
29,"City of Lost Children, The",Adventure|Drama|Fantasy|Mystery|Sci-Fi,,,
30,Shanghai Triad,Crime|Drama,Yimou Zhang,22-Dec-95,
31,Dangerous Minds,Drama,John N. Smith,11-Aug-95,
32,Twelve Monkeys,Mystery|Sci-Fi|Thriller,"Keith Fulton, Louis Pepe",01-Nov-96,
34,Babe,Children|Drama,Chris Noonan,04-Aug-95,
36,Dead Man Walking,Crime|Drama,Tim Robbins,02-Feb-96,
38,It Takes Two,Children|Comedy,Andy Tennant,17-Nov-95,
39,Clueless,Comedy|Romance,Amy Heckerling,19-Jul-95,
40,"Cry, the Beloved Country",Drama,Darrell Roodt,15-Dec-95,
41,Richard III,Drama|War,Richard Loncraine,29-Dec-95,
42,Dead Presidents,Action|Crime|Drama,"Albert Hughes, Allen Hughes",06-Oct-95,
43,Restoration,Drama,Michael Hoffman,02-Feb-96,
44,Mortal Kombat,Action|Adventure|Fantasy,Simon McQuoid,23-Apr-21,
45,To Die For,Comedy|Drama|Thriller,Gus Van Sant,06-Oct-95,
46,How to Make an American Quilt,Drama|Romance,Jocelyn Moorhouse,06-Oct-95,
47,Seven,Mystery|Thriller,Akira Kurosawa,19-Nov-56,
48,Pocahontas,Animation|Children|Drama|Musical|Romance,"Mike Gabriel, Eric Goldberg",23-Jun-95,
49,When Night Is Falling,Drama|Romance,Patricia Rozema,17-Nov-95,
50,"Usual Suspects, The",Crime|Mystery|Thriller,,,
52,Mighty Aphrodite,Comedy|Drama|Romance,Woody Allen,10-Nov-95,
53,Lamerica,Adventure|Drama,Gianni Amelio,04-Oct-95,
54,"Big Green, The",Children|Comedy,,,
55,Georgia,Drama,Ulu Grosbard,08-Dec-95,
57,Home for the Holidays,Drama,Jodie Foster,03-Nov-95,
58,"Postman, The",Comedy|Drama|Romance,Shannon McIntosh,N/A,
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,,,
61,Eye for an Eye,Drama|Thriller,John Schlesinger,12-Jan-96,
62,Mr. Holland's Opus,Drama,Stephen Herek,19-Jan-96,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,Paris Barclay,12-Jan-96,
64,Two if by Sea,Comedy|Romance,Bill Bennett,12-Jan-96,
65,Bio-Dome,Comedy,Jason Bloom,12-Jan-96,
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,Farhad Mann,12-Jan-96,
68,French Twist,Comedy|Romance,Josiane Balasko,19-Jan-96,
69,Friday,Comedy,F. Gary Gray,26-Apr-95,
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,Robert Rodriguez,19-Jan-96,
71,Fair Game,Action,Doug Liman,03-Dec-10,
72,Kicking and Screaming,Comedy|Drama,Noah Baumbach,06-Oct-95,
73,"Misérables, Les",Drama|War,,,
74,Bed of Roses,Drama|Romance,Michael Goldenberg,26-Jan-96,
75,Big Bully,Comedy|Drama,Steve Miner,26-Jan-96,
76,Screamers,Action|Sci-Fi|Thriller,Christian Duguay,26-Jan-96,
77,Nico Icon,Documentary,Susanne Ofteringer,16-Nov-95,
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,,,
79,"Juror, The",Drama|Thriller,,,
80,"White Balloon, The",Children|Drama,,,
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,Gary Fleder,01-Dec-95,
82,Antonia's Line,Comedy|Drama,Marleen Gorris,02-Feb-96,
83,Once Upon a Time... When We Were Colored,Drama|Romance,Tim Reid,26-Jan-96,
85,Angels and Insects,Drama|Romance,Philip Haas,26-Jan-96,
86,White Squall,Action|Adventure|Drama,Ridley Scott,02-Feb-96,
87,Dunston Checks In,Children|Comedy,Ken Kwapis,12-Jan-96,
88,Black Sheep,Comedy,Penelope Spheeris,02-Feb-96,
89,Nick of Time,Action|Thriller,John Badham,22-Nov-95,
92,Mary Reilly,Drama|Horror|Thriller,Stephen Frears,23-Feb-96,
93,Vampire in Brooklyn,Comedy|Horror|Romance,Wes Craven,27-Oct-95,
94,Beautiful Girls,Comedy|Drama|Romance,Ted Demme,09-Feb-96,
95,Broken Arrow,Action|Adventure|Thriller,John Woo,09-Feb-96,
96,In the Bleak Midwinter,Comedy|Drama,Davide Abbatescianni,29-Oct-15,
97,Hate,Crime|Drama,Gil Junger,31-Mar-99,
99,Heidi Fleiss: Hollywood Madam,Documentary,Nick Broomfield,09-Feb-96,
100,City Hall,Drama|Thriller,Harold Becker,16-Feb-96,
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,Wes Anderson,21-Feb-96,
102,Mr. Wrong,Comedy,Nick Castle,16-Feb-96,
103,Unforgettable,Mystery|Sci-Fi|Thriller,N/A,20 Sep 2011,
104,Happy Gilmore,Comedy,Dennis Dugan,16-Feb-96,
105,"Bridges of Madison County, The",Drama|Romance,,,
106,Nobody Loves Me,Comedy|Drama,Doris Dörrie,12-Jan-95,
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,Brian Henson,16-Feb-96,
108,Catwalk,Documentary,Robert Leacock,16-May-96,
110,Braveheart,Action|Drama|War,Mel Gibson,24-May-95,
111,Taxi Driver,Crime|Drama|Thriller,Martin Scorsese,09-Feb-76,
112,Rumble in the Bronx,Action|Adventure|Comedy|Crime,Stanley Tong,23-Feb-96,
113,Before and After,Drama|Mystery,Barbet Schroeder,23-Feb-96,
116,Anne Frank Remembered,Documentary,Jon Blair,08-Jun-95,
117,"Young Poisoner's Handbook, The",Crime|Drama,,,
118,If Lucy Fell,Comedy|Romance,Eric Schaeffer,08-Mar-96,
119,"Steal Big, Steal Little",Comedy,Andrew Davis,29-Sep-95,
121,"Boys of St. Vincent, The",Drama,,,
122,Boomerang,Comedy|Romance,Reginald Hudlin,01-Jul-92,
123,Chungking Express,Drama|Mystery|Romance,Wong Kar-Wai,08-Mar-96,
125,Flirting With Disaster,Comedy,David O. Russell,12-Apr-96,
126,"NeverEnding Story III, The",Adventure|Children|Fantasy,,,
128,Jupiter's Wife,Documentary,Michel Negroponte,08-Sep-95,
129,Pie in the Sky,Comedy|Romance,N/A,12 Mar 1994,
132,Jade,Thriller,William Friedkin,13-Oct-95,
135,Down Periscope,Comedy,David S. Ward,01-Mar-96,
137,Man of the Year,Documentary,Barry Levinson,13-Oct-06,
